image,sentence
26579470_page2_41_33.jpg,"The principal pathways included: 1 RAS RAF MEK, 2 PI3K AKT and 3 JAK STAT pathways"
26579470_page2_41_33.jpg,HER3 serves as a key activator of downstream PI3K AKT and MEK MAPK signal pathways through dimerization with other HER family proteins or other molecules
26579470_page2_41_33.jpg,HER3 serves as akey activator of downstream PI3K AKT and MEK mitogen-activated protein kinase MAPK pathways and contributes tosurvival of the most tumor cells
26579470_page2_41_33.jpg,EGFRvIII expression is associated withthe activation of downstream PI3K AKT mTOR pathway and increasesproliferation and cell cycle progression mediated by a decrease in thelevel of p27KIP1
26579470_page2_41_33.jpg,Beta1 subunit of integrin is an adhesion molecule sharingcommon downstream signaling elements with EGFR such asthe PI3K AKT and ERK1 2 pathways
26579470_page2_41_33.jpg,EMT may be induced bythe activation of AXL via the PI3K AKT pathway
25505733_page1_4_41.jpg,PI3K can be activated by transmembrane receptor tyrosinekinases like EGFR or RAS through phosphorylation of AKT
29973561_page4_305_49.jpg,Our recent studies indicate that theactivation of alternative signaling pathways such as PI3K mTOR and Wnt may also cause resistanceto EGFR TKIs in certain cell lines with wild-type EGFR; however in cell lines with mutant EGFR there is activation of the mTOR pathway
29973561_page4_305_49.jpg,Inappropriate ampliﬁcation of MET a gene that codes for an epithelial RTK thatactivates signaling of the MAPK PI3K and SRC pathways upon binding by its ligand hepatocytegrowth factor HGF [69] stimulates the AKT pathway and is also a major contributor to EGFR TKIsecondary resistance Figure 1
29973561_page4_305_49.jpg,More speciﬁcally MET ampliﬁcation has been shown topromote geﬁtinib resistance by activating PI3K through ERBB3 HER3 despite EGFR inhibition viageﬁtinib [70]
29973561_page4_305_49.jpg,Dimerization with IGF-1R allows activation of the MAPK and PI3K pathways despite EGFR inhibition
29973561_page4_305_49.jpg,Dimerization with IGF-1R allows activation of the MAPK and PI3K pathways despite EGFR inhibition
27938382_page1_9_34.jpg,Abbreviations: AKT protein kinase B ALK anaplastic lymphoma kinase CREB3L2 cyclic AMP-responsive element-binding protein 3-like protein 2 EGFR epidermal growth factor receptor EML4 echinoderm microtubule-associated protein-like 4 ERK extracellular signal-regulated kinase FGFR fibroblast growth factor receptor HGF hepatocyte growth factor MCL1 myeloid leukemia cell differentiation protein MEK mitogen-activated protein kinase MET mesenchymal-to-epithelial transition mTOR mammalian target of rapamycin PTEN phosphatase and tensin homologue RAF rapidly accelerated fibrosarcoma kinase RET rearranged during transfection proto-oncogene
31527477_page7_566_53.jpg,EGFR RAS RAF MEK ERK signaling activates autophagy by inducing the serine phosphorylationof Beclin1 Figure 4
31527477_page7_566_53.jpg,EGFR-RAF MEK extracellular signal-regulated kinases ERK signaling can activate autophagy by increasing serine phosphorylation of Beclin1
31527477_page7_566_53.jpg,EGFR RAS RAF MEK ERK signaling activates autophagy by inducing the serine phosphorylation of Beclin1 Figure 4
