PMID,sentence,gene
23885909,ATP = adenosine triphosphate ALK = analplastic lymphoma factor BCR-ABL = breakpoint cluster region the Abelson tyrosine BRAF = v-raf murine sarcoma viral oncogene CD-20 = clusters of differentiation-20 antigen of B-cells  c-KIT = tyrosine-proteinkinase kit or mast stem cell growth factor receptor CML = chronic myelogenous leukemia CRC = colorectal carcinoma EGFR =epidermal growth factor receptor EML4 = echinoderm microtubule-associated protein-like 4 FDA = Food and Drug Administration HCC = hepatocellular carcinoma HER-2 = human epidermal growth factor receptor-2 KRAS = Kirsten rat sarcoma viral oncogene mAb = monoclonal antibody mTOR = mammalian target of rapamycin NSCLC = non–small cell lung carcinoma PDGFR = platelet-derived growth factor receptor SMKI = small molecule kinase inhibitor VEGF = vascular endothelial growth factor VEGFR2 =vascular endothelial growth factor receptor-2,['MTOR']
23885909,After ligand binding EGFRdownstream signal activates major cellular pathways including the RAS RAF MAPK pathway responsiblefor cell proliferation and metastasis and the PI3K AKT mTor pathway responsible for cell survival 16,"['AKT', 'MTOR', 'PI3K']"
23885909,The ﬁrst is RAS RAF MAPK pathway and thesecond is PI3KT AKT mTOR axis vital in cell prolifer-ation adhesion angiogenesis and migration 28,"['AKT', 'MTOR']"
23885909,"Another well-known signaling pathwayinvolved in the development and maintenance of HCC isPI3K AKT mTOR, which is active in 30%–50% of HCC 36 37",['AKT']
23885909,SeveralSMKIs are currently in development targeting the PI3K AKT mTOR pathway including PI-103 and OST 906 37,"['AKT', 'MTOR', 'PI3K']"
23885909,Lapatinib a SMKI promotes apoptosis by inhibiting activation of EGFR andHER-2 and the downstream pathways PI3K AKT mTORand RAS RAF MAPK 45,"['AKT', 'PI3K']"
23909719,Recently FoxM1 was found to bind to and increase the activity of the Snail1 gene promoter [104],['FOXM1']
23909719,FoxM1 binds to and increases the promoter activity of the Snail1 gene,['FOXM1']
23909719,NRF2 binding to a Smad Binding Element SBE suppresses TGF-� target gene expression,['NRF2']
23909719,The majority of Smad-dependent target genes are controlled by Smad3 [105] which partners with Smad4 upon activation by TGF-� recep-tor serine threonine kinases and translocates to the nucleus where Smad complexes control target gene transcription by interacting with specific binding motifs in the gene regula-tory regions [106],['SMAD4']
23909719,The transcription factor NRF2 controls antioxidant gene expression regulates the cellular oxidant burden and represses TGF-� Smad-mediated signaling,['NRF2']
23909719,NRF2 binding to a Smad Binding Element SBE in the proximal promoter of the target gene PAI-1 a TGF-� Smad-responsive profibrotic gene suppresses TGF-� target gene expression [108 109],['NRF2']
23909719,NRF2 deficiency reduces life span of mice administered thoracic irradiation,['NRF2']
23909719,Foxm1 transcription factor is required for lung fibrosis and epithelial-to-mesenchymal transition,['FOXM1']
23909719,Direct binding of Smad3 and Smad4 to critical TGF beta-inducible elements in the promoter of human plasminogen activator inhibitor-type 1 gene,['SMAD4']
25101240,These includeactivation of the EGFR heat shock protein 90 HSP90  and thePI3K AKT mTOR pathways,['AKT']
25101240,The PI3K AKT mTOR pathway is an intracellular signalingpathway important in cell cycle regulation and apoptosis alsoimplicated in resistance to ALK-targeted therapy,['AKT']
25101240,The exact mechanism by which the ALK receptor inducesactivation of the mTOR pathway remains to be elucidated butinhibition of AKT by phosphorylation seems to play a key factor,['AKT']
25257766,1 shows the three-tiered MAPK pathway that is regulatedby RAS KRAS HRAS NRAS binding to BRAF or RAF1 which aremitogen-activated protein kinases MAP3Ks,"['BRAF', 'RAF1']"
25257766,In additionto RAF proteins there are additional MAP3Ks including MAP3K8 TPL2 COT and MAP3K1 MEKK1 that are able to phosphory-late and activate MEK1 2,['MAP3K1']
25257766,MAP3K1 and MAP3K8 are not directlyregulated by RAS but are mutated or ampliﬁed in different can-cers [15],['MAP3K1']
25257766,BRAF inhibitorsare not used to treat tumors with wild-type BRAF because of aparadoxical RAF activation seen with wild-type but not mutantBRAF leading to strong ERK1 2 activation resulting in tumor cellproliferation [18],['BRAF']
25257766,SCH772984 are also in development and have shown efﬁcacyfor BRAF inhibitor resistant melanoma [19],['BRAF']
25257766,Whereas the BRAF,['BRAF']
25257766,The ERK1 2 MAPK signaling network includes a MAP3K including BRAF and,['BRAF']
25257766,RAF1 that are activated by RAS,['RAF1']
25257766,network including MAP3K8 TPL2 COT and MAP3K1 MEKK1,['MAP3K1']
25257766,and vemurafenib are inhibitors targeting activated BRAF,['BRAF']
25257766,MEK1 2 inhibitors have their greatest antitumor effects withtumors harboring RAS or BRAF activating mutations because theRAF–MEK–ERK pathway is generally activated and contributes sig-niﬁcantly to tumor cell proliferation and survival,['BRAF']
25257766,However thereare examples where MEK inhibitors have signiﬁcant efﬁcacy withtumors that do not have activating RAS or BRAF mutations,['BRAF']
25257766,Forexample in basal-like triple negative breast cancer where activat-ing RAS or BRAF mutations are rare; however the RAF–MEK–ERKpathway is often activated due to genomic ampliﬁcation of EGFR KRAS or BRAF [21],['BRAF']
25257766,In fact EGFR KRAS and BRAF were ampliﬁed22% 32% and 31% respectively in basal-like triple negative breastcancers,['BRAF']
25257766,BRAF V600-mutant advanced melanoma treated with vemurafenib,['BRAF']
25257766,Discovery of anovel ERK inhibitor with activity in models of acquired resistance to BRAF andMEK inhibitors,['BRAF']
25257766,BRAF mutationpredicts sensitivity to MEK inhibition,['BRAF']
25477004,Therapeutic refractory lung cancer cells frequently revealEMT phenotype and signaling to block EMT has beenshown to enhance chemotherapy sensitivity [17 18],['EMT']
25477004,Takentogether EMT metastases and drug resistance are inter-twined in NSCLC which lead to aggravation and poorprognosis,['EMT']
25477004,The role of EMT and CSCs in Metastasis of NSCLC,['EMT']
25477004,EMT is a highly coordinated process in which epithelialcells lose polarity together with cell-cell adhesion andacquire properties of mesenchymal cells,['EMT']
25477004,Key transcrip-tion factors driving EMT include the Snail homologues Snail1 Snail2 Slug and Snail3  twist zinc finger E-box-binding homeobox 1 ZEB1 and ZEB2 and TCF3 E47,['EMT']
25477004,In vitro studies have proved that TGF-β integ-rin and JAK STAT3 signals caused EMT in lung adenocar-cinoma cells [22-24],['EMT']
25477004,Forexample the intercellular cell-adhesionmolecule-1 ICAM-1  a transmembrane molecule and adistinguished member of the immunoglobulin superfamilyof proteins was involved in tumor invasion and EMT andwas also correlated with tumor differentiation grade andsurvival of NSCLC patient [29],['EMT']
25477004,More studies have proved that post-transcriptionalregulatory network such as miR-200 family miR-101 miR-506 and several lncRNAs regulated EMT [31],['EMT']
25477004,"Multiple signalingpathways such as NF-κB PI3K Akt mTOR, Notch Wnt β-catenin, and Hedgehog as well as hypoxia-inducedmicroRNAs miRNAs have been recognized as importantregulators of EMT in hypoxia environment promotingtumor progression [32 33]",['EMT']
25477004,Altogether EMT is frequently associated with stemness,['EMT']
25477004,In onehand the expressions of embryo stem cell related genesare enriched on cells under EMT [38],['EMT']
25477004,"At the other hand knockdown of stem cell factor Oct4 Nanog, suppressedthe expression of EMT gene Slug and reversed the EMTprocess followed by reduced tumorigenic and metastaticability",['EMT']
25477004,The Notch Wnt and TGF-β signaling pathway are involved in the induction of EMT CSCs and metastasis of NSCLC,['EMT']
25477004,Figure 2 Schematic representation of Notch signaling related to EMT,['EMT']
25477004,to induce EMT,['EMT']
25477004,Mechanism of Notch signaling in regulating EMT,['EMT']
25477004,It was first revealed that Notch activity in-duced EMT was required for cardiac valve and cushion for-mationduringheartdevelopment involvingdown-regulation of epithelial markers E-cadherin and up-regulation of mesenchymal markers snail [65 66],['EMT']
25477004,Mean-while inactivation of Notch signaling by a γ-secretase in-hibitor could reverse the EMT process [67],['EMT']
25477004,Interestingly over-expression of Jagged1 could trigger repression of E-cadherin in human kidney epithelial cells suggestingJagged-1 is a necessary element of Notch signaling forpromoting EMT [68],['EMT']
25477004,In EMT processes Notch cross-talks with several transcription and growth factors rele-vant to EMT including Snail Slug TGF-β FGF andPDGF [21 69],['EMT']
25477004,The reduc-tion of E-cadherin expression reduces the cell-cell junc-tion and leads to destabilization of the epithelial structure which is an initial step in EMT,['EMT']
25477004,On thecontrary inactivation of Notch attenuated the down-regulation of E-cadherin expression and decreased Snailexpression suggesting a direct role for Notch signaling viaSnail in the induction of EMT [71],['EMT']
25477004,By recruitment ofhypoxia-inducible factors HIF-1α and HIF-2α Notch sig-naling pathway could also increase Snail expression topromote EMT through a sophisticated framework [72],['EMT']
25477004,Interestingly the inhibition of COX-2 could reverse theability of Notch1 to induce EMT suggesting that Notch isdependent on COX2 to mediate pro-metastasis via Snail E-cadherin in EMT [73],['EMT']
25477004,partial reversal of EMT by decreased expressions of Snail Slug ZEB1 vimentin and nuclear factor-kappaB showingslug was essential for Notch-mediated EMT [75],['EMT']
25477004,Correspondingly inhibition ofZEB1 reverses EMT and chemo-resistance in docetaxel-refract human lung adenocarcinoma cell line [79],['EMT']
25477004,It is concluded that inter-action of Notch-miR-200-ZEB1 loop governed EMT andmetastatic capacity,['EMT']
25477004,The transforming growth factor beta TGF-β  a ubiqui-tous cytokine with profound growth inhibitory effects onepithelial and other tissues orchestrates an intricate sig-naling network that is crucial to determine cell fate dif-ferentiation proliferation and motile leading to not onlytumour suppression but also EMT [82],['EMT']
25477004,Initiated by ligand-receptor binding TGF-βmediates the interaction of SMAD to the promoters ofSnail contributing to the development of EMT in NSCLC[83 84],['EMT']
25477004,TGF-β induced EMT could be blocked by knockdown of Hey-1 or jagged-1 and by pharmacological inacti-vation of Notch indicating the key role of Notch signalingin TGF-beta-induced EMT [85],['EMT']
25477004,However in cultured limbal progenitorcells Notch prevents TGF-β-assisted EMT through the in-duction of Smad7 [87],['EMT']
25477004,Given theimportance of Notch and cyclin D1 in tumorigenesis it isnot surprising that Notch pathway would participate inregulation of cyclin D1-mediated EMT,['EMT']
25477004,Gifitinib-acquired resistant lung cancer cellsdisplayed EMT phenotype,['EMT']
25477004,Theelevated expression of Notch-1 could directly suppress p21Waf1 Cipl accompanied with the increasing of cyclin D1 giving rise to the EMT phenotype,['EMT']
25477004,These findings suggest that the aggressive behaviorcaused by cyclinD1 might be driven by the mis-expressionof Notch pathway in NSCLC which finally down regulatesp21 Waf1 Cipl and promotes the EMT phenotype [71],['EMT']
25477004,For instance nanoparticle NP technology has been applied to deliver specificsiRNA to knockdown Notch1 to arrest tumor growth andreverse EMT by the up-regulation of miR-200a and down-regulation of the transcription factors ZEB1 ZEB2 Snailand Slug [113],['EMT']
25477004,As a well known driving force of cell invasion migrationand metastasis EMT has been shown to induce resist-ance of cancer cells to conventional chemotherapy andradiotherapy,['EMT']
25477004,Notch signaling not only activates cell pro-liferation antagonize apoptosis but also cross-talks withseveral transcriptional factors to promote EMT leadingto enhanced motility in vitro and invasion and metasta-sis in vivo,['EMT']
25477004,Zheng H Kang Y: Multilayer control of the EMT master regulators,['EMT']
25477004,Zhang X Liu G Kang Y Dong Z Qian Q Ma X: N-cadherin expression isassociated with acquisition of EMT phenotype and with enhancedinvasion in erlotinib-resistant lung cancer cell lines,['EMT']
25477004,Gibbons DL Lin W Creighton CJ Rizvi ZH Gregory PA Goodall GJ Thilaganathan N Du L Zhang Y Pertsemlidis A Kurie JM: Contextualextracellular cues promote tumor cell EMT and metastasis by regulatingmiR-200 family expression,['EMT']
25477004,Bao B Azmi AS Ali S Ahmad A Li Y Banerjee S Kong D Sarkar FH: Thebiological kinship of hypoxia with CSC and EMT and their relationshipwith deregulated expression of miRNAs and tumor aggressiveness,['EMT']
25477004,Espinoza I Miele L: Deadly crosstalk: Notch signaling at the intersectionof EMT and cancer stem cells,['EMT']
25477004,De Craene B Berx G: Regulatory networks defining EMT during cancerinitiation and progression,['EMT']
25477004,Argast GM Krueger JS Thomson S Sujka-Kwok I Carey K Silva S O Connor M Mercado P Mulford IJ Young GD Sennello R Wild R Pachter JA Kan JL Haley J Rosenfeld-Franklin M Epstein DM: Inducible expression of TGFβ snail and Zeb1 recapitulates EMT in vitro and in vivo in a NSCLC model,['EMT']
25477004,Lin LC Hsu SL Wu CL Hsueh CM: TGFβ can stimulate the p38 b-cetanin PPARγ signaling pathway to promote the EMT invasion and migrationof non-small cell lung cancer H460 cells,['EMT']
25477004,: Notch signaling and EMT in non-smallcell lung cancer: biological significance and therapeutic application,['EMT']
25505733,Using molecular selec-tion clinical trials of targeted therapy have demonstrated majorimprovements in response quality of life and progression-freesurvival compared to chemotherapy using epidermal growth fac-tor receptor EGFR TKI in EGFR mutant NSCLC and crizotinibin anaplastic lymphoma kinase ALK rearranged NSCLC 2 3,['EGFR']
25505733,It is now standard of care to test non-squamous lung carcinomafor the presence of EGFR mutation and ALK rearrangement upondiagnosis of advanced disease 4  in order to select patients for ini-tial EGFR TKI and ALK inhibitor therapy,['EGFR']
25505733,EPIDERMAL GROWTH FACTOR RECEPTORTargeting EGFR has led to a breakthrough in understandingof lung cancer biology and the NSCLC treatment paradigm,['EGFR']
25505733,Mutations in EGFR resulting in greater afﬁnity for ATP bind-ing by the EGFR tyrosine kinase domain and constitutive acti-vation are found in ~15% of lung cancers in Caucasians and40% in Asians 5 6,['EGFR']
