image,caption
../abc\AKT\23885909_page5_123_0.jpg,After ligand binding EGFRdownstream signal activates major cellular pathways including the RAS RAF MAPK pathway responsiblefor cell proliferation and metastasis and the PI3K AKT mTor pathway responsible for cell survival 16
../abc\AKT\23885909_page5_123_0.jpg,The ﬁrst is RAS RAF MAPK pathway and thesecond is PI3KT AKT mTOR axis vital in cell prolifer-ation adhesion angiogenesis and migration 28
../abc\AKT\23885909_page5_123_0.jpg,"Another well-known signaling pathwayinvolved in the development and maintenance of HCC isPI3K AKT mTOR, which is active in 30%–50% of HCC 36 37"
../abc\AKT\23885909_page5_123_0.jpg,SeveralSMKIs are currently in development targeting the PI3K AKT mTOR pathway including PI-103 and OST 906 37
../abc\AKT\25101240_page1_4_0.jpg,These includeactivation of the EGFR heat shock protein 90 HSP90  and thePI3K AKT mTOR pathways
../abc\AKT\25101240_page1_4_0.jpg,The PI3K AKT mTOR pathway is an intracellular signalingpathway important in cell cycle regulation and apoptosis alsoimplicated in resistance to ALK-targeted therapy
../abc\AKT\25505733_page1_4_0.jpg,PTEN AKT mTOR
../abc\AKT\25505733_page1_4_0.jpg,Loss of PTEN protein expression with subsequent AKT overex-pression occurs in a third of NSCLC cases and is associated withpoor prognosis in lung cancer 51
../abc\AKT\25505733_page1_4_0.jpg,AKT activation and mTOR phosphorylation is found in 51% ofNSCLC cases although AKT mutations are rare <1%
../abc\AKT\25505733_page1_4_0.jpg,Giventhe high level of activation and “crosstalk” with the RAS–RAF–MEK pathway studies of mTOR and AKT inhibitors are of majorinterest in lung cancer
../abc\AKT\25505733_page1_4_0.jpg,PI3K can be activated by transmembrane receptor tyrosinekinases like EGFR or RAS through phosphorylation of AKT
../abc\AKT\25557115_page3_13_0.jpg,Interestingly it was observed that NSCLC cell lines carrying the KRAS G12C or G12V muta-tion have higher RAL GTPase activities and lower PI3K AKT or RAF-MEK-ERK pathway activation compared with cell lines carrying other KRAS mutations Figure 3 or wild-type KRAS[20]
../abc\AKT\25557115_page3_13_0.jpg,Another common KRAS mutation at codon 12 the glycine to aspar-tate G12D mutation was shown to predominantly activate the PI3K AKT pathway[20] Figure 3
../abc\AKT\25557115_page3_13_0.jpg,Similarly AKT was also not differentially expressed between patients carrying KRAS transition and transversion mutations[76]
../abc\AKT\26579470_page1_13_0.jpg,There are three main downstreampathways: 1 rat sarcoma RAS  rapidly accelerated ﬁbrosarcoma RAF  mitogen-activated protein kinase MAPK pathway; 2 phosphatidylinositol-3-kinase PI3K  protein kinase B AKT path-way and 3 janus kinase JAK  signal transducers and activators oftranscription STAT pathway which stimulates mitosis leading tocell proliferation and inhibition of apoptosis1
../abc\AKT\26579470_page1_13_0.jpg,"The principal pathways included: 1 RAS RAF MEK, 2 PI3K AKT and 3 JAK STAT pathways"
../abc\AKT\26579470_page1_13_0.jpg,HER3 serves as a key activator of downstream PI3K AKT and MEK MAPK signal pathways through dimerization with other HER family proteins or other molecules
../abc\AKT\26579470_page1_13_0.jpg,HER3 serves as akey activator of downstream PI3K AKT and MEK mitogen-activated protein kinase MAPK pathways and contributes tosurvival of the most tumor cells
../abc\AKT\26579470_page1_13_0.jpg,The resistantmechanism of EGFR-TKIs may involve HER3-PI3K AKT signal-ing by maintaining HER3 phosphorylation in the presence ofgeﬁtinib which is independent of EGFR kinase activity19
../abc\AKT\26579470_page1_13_0.jpg,EGFRvIII expression is associated withthe activation of downstream PI3K AKT mTOR pathway and increasesproliferation and cell cycle progression mediated by a decrease in thelevel of p27KIP1
../abc\AKT\26579470_page1_13_0.jpg,The researchers suggested thatthe AXL upregulation may activate AKT MAPK or NF-κBsignaling to promote resistance to erlotinib perhaps in associationwith epithelial mesenchymal transition EMT process via indu-cing Slug expression38
../abc\AKT\26579470_page1_13_0.jpg,Ampliﬁcationof CRKL in EGFR-mutant cells induces resistance to geﬁtinib byactivating ERK and AKT signaling44
../abc\AKT\26579470_page1_13_0.jpg,Beta1 subunit of integrin is an adhesion molecule sharingcommon downstream signaling elements with EGFR such asthe PI3K AKT and ERK1 2 pathways
../abc\AKT\26579470_page1_13_0.jpg,49 identiﬁed the integrin β1 Src AKT signal pathway as a key mediator of acquired resistanceto EGFR-targeted anticancer drugs
../abc\AKT\26579470_page1_13_0.jpg,PTEN dephosphorylates PI- 3 4 5 -triphosphate which mediatesactivation of AKT thereby negatively regulating the PI3K AKT mTOR pathway and leading to G1 cell cycle arrest and apoptosis
