image,caption
../abc\AKT\23885909_page5_123_0.jpg,Lapatinib a SMKI promotes apoptosis by inhibiting activation of EGFR andHER-2 and the downstream pathways PI3K AKT mTORand RAS RAF MAPK 45
../abc\AKT\25101240_page1_4_0.jpg,The exact mechanism by which the ALK receptor inducesactivation of the mTOR pathway remains to be elucidated butinhibition of AKT by phosphorylation seems to play a key factor
../abc\AKT\25505733_page1_4_0.jpg,Phosphorylated Akt overexpression andloss of PTEN expression in non-small cell lung cancer confers poor prognosis
../abc\AKT\25557115_page3_13_0.jpg,Drugs against the PI3K AKT and RAF-MEK-ERK pathways are used for the treatment of patients carrying RAS mutations
../abc\AKT\26579470_page1_13_0.jpg,Inhibition ofthe PI3K AKT mTOR signal pathway can be an effective strategyto NSCLC harboring the EGFR activating mutations that acquiresresistance to both TKIs and radiotherapy due to PTEN loss56
../abc\AKT\26579470_page1_13_0.jpg,EMT may be induced bythe activation of AXL via the PI3K AKT pathway
../abc\AKT\26579470_page1_13_0.jpg,Loss of PTENmTOR inhibitors AKT inhibitors––PIK3CA mutationEGFR-TKIsþPI3K inhibitorsGeﬁtinibþBKM12096
../abc\AKT\26579470_page2_41_0.jpg,Inhibition ofthe PI3K AKT mTOR signal pathway can be an effective strategyto NSCLC harboring the EGFR activating mutations that acquiresresistance to both TKIs and radiotherapy due to PTEN loss56
../abc\AKT\26579470_page2_41_0.jpg,EMT may be induced bythe activation of AXL via the PI3K AKT pathway
../abc\AKT\26579470_page2_41_0.jpg,Loss of PTENmTOR inhibitors AKT inhibitors––PIK3CA mutationEGFR-TKIsþPI3K inhibitorsGeﬁtinibþBKM12096
../abc\AKT\26579470_page3_62_0.jpg,Inhibition ofthe PI3K AKT mTOR signal pathway can be an effective strategyto NSCLC harboring the EGFR activating mutations that acquiresresistance to both TKIs and radiotherapy due to PTEN loss56
../abc\AKT\26579470_page3_62_0.jpg,EMT may be induced bythe activation of AXL via the PI3K AKT pathway
../abc\AKT\26579470_page3_62_0.jpg,Loss of PTENmTOR inhibitors AKT inhibitors––PIK3CA mutationEGFR-TKIsþPI3K inhibitorsGeﬁtinibþBKM12096
../abc\AKT\26579470_page6_135_0.jpg,Inhibition ofthe PI3K AKT mTOR signal pathway can be an effective strategyto NSCLC harboring the EGFR activating mutations that acquiresresistance to both TKIs and radiotherapy due to PTEN loss56
../abc\AKT\26579470_page6_135_0.jpg,EMT may be induced bythe activation of AXL via the PI3K AKT pathway
../abc\AKT\26579470_page6_135_0.jpg,Loss of PTENmTOR inhibitors AKT inhibitors––PIK3CA mutationEGFR-TKIsþPI3K inhibitorsGeﬁtinibþBKM12096
../abc\AKT\26579470_page7_156_0.jpg,Inhibition ofthe PI3K AKT mTOR signal pathway can be an effective strategyto NSCLC harboring the EGFR activating mutations that acquiresresistance to both TKIs and radiotherapy due to PTEN loss56
